gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Rhou,7.20057,4.700476666666667,2.500093333333333,0.007758171157228826,0.8874173519882103
Sdc1,3.6159516666666662,3.026111666666667,0.5898399999999993,0.007779232165420228,0.8874173519882103
Dgki,3.486693333333333,3.9047899999999998,-0.41809666666666656,0.007807753724870013,0.8874173519882103
Dcn,2.134586666666667,1.98167,0.1529166666666668,0.00785040613759866,0.8874173519882103
Clec4d,8.936106666666667,6.803553333333333,2.132553333333334,0.00787443426264422,0.8874173519882103
Mkx,5.006253333333333,4.070363333333333,0.9358900000000006,0.007885753706042525,0.8874173519882103
Vmn1r34,3.7359166666666663,3.2436933333333333,0.492223333333333,0.007967843520716679,0.8925795616730116
Mvk,4.712253333333333,4.257563333333334,0.4546899999999994,0.008092428725754807,0.8962523671625838
Tnip1,7.030163333333333,5.2754900000000005,1.7546733333333329,0.008122427343232406,0.8962523671625838
4930556M19Rik,2.0759966666666667,2.26477,-0.18877333333333324,0.008215091946808865,0.8962523671625838
Fip1l1,7.8854766666666665,7.3685,0.5169766666666664,0.008218643893783179,0.8962523671625838
Setdb2,6.001246666666667,4.91951,1.081736666666667,0.008246302255702912,0.8962523671625838
Creg2,3.93125,2.86269,1.0685599999999997,0.008250627940290285,0.8962523671625838
Sqstm1,10.448433333333334,8.936586666666667,1.511846666666667,0.008258814700145644,0.8962523671625838
Ppt2,5.820776666666667,4.7387266666666665,1.0820500000000006,0.008322339445729871,0.8962523671625838
B930095G15Rik,3.3188816666666665,3.1023149999999995,0.21656666666666702,0.008327928264566107,0.8962523671625838
Lilrb3,5.471406666666667,3.788203333333333,1.6832033333333336,0.008446037119107352,0.9050112382626117
Rilpl1,5.158883333333333,3.9247433333333333,1.2341399999999996,0.00852293643382046,0.9075193242594112
Bdp1,7.03969,6.618273333333334,0.42141666666666655,0.008543091224515456,0.9075193242594112
Socs3,3.9711350000000003,3.276151666666667,0.6949833333333335,0.00860875781456427,0.908646961165239
Gm19665,2.1009666666666664,2.42676,-0.3257933333333334,0.00863067776834899,0.908646961165239
Mirlet7c-2,1.7518366666666667,1.9772933333333336,-0.22545666666666686,0.008679842739530003,0.908646961165239
Nqo1,3.2808533333333334,2.7093833333333333,0.5714700000000001,0.008701184128017708,0.908646961165239
Zfp451,5.797160000000001,5.382413333333333,0.4147466666666677,0.008779592396971923,0.9094991584025016
Fam20b,6.97101,6.310993333333333,0.6600166666666665,0.008830233184948666,0.9094991584025016
Sowahc,5.5473799999999995,4.230896666666666,1.3164833333333332,0.008900643028916834,0.9094991584025016
Lilrb4,11.276333333333334,10.946800000000001,0.3295333333333321,0.008959149400062568,0.9094991584025016
Gdap1,1.9060300000000001,2.058873333333333,-0.152843333333333,0.009036718761053265,0.9094991584025016
Speer5-ps1,2.684153333333333,2.8364433333333334,-0.15229000000000026,0.009052752239690473,0.9094991584025016
Gm2745,3.41995,4.139793333333333,-0.7198433333333334,0.009094391725907367,0.9094991584025016
Inmt,2.54301,2.84874,-0.3057299999999996,0.009115518094301485,0.9094991584025016
AW011738,3.5680366666666665,3.043346666666667,0.5246899999999997,0.009191454621578016,0.9094991584025016
Plagl2,6.986303333333333,5.862089999999999,1.1242133333333335,0.009195304371823072,0.9094991584025016
Syt7,3.744206666666667,2.929066666666667,0.81514,0.009211725393217138,0.9094991584025016
Gdf15,5.6646399999999995,3.5726766666666667,2.0919633333333327,0.009240826657471812,0.9094991584025016
Bbip1,5.878906666666666,5.566286666666667,0.312619999999999,0.009244536619282739,0.9094991584025016
